Video Title,Video URL,Likes,Comment,category,Comment_clean,lang,tokens_clean
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,"여러분 지금 하이브 전략 바꿨대요
댓글 삭제 말고 ㄷㅇㄷ 관련 없는 댓글 좋아요 눌러서 맨 위로 띄운다고 하네요
ㄷㅇㄷ 언급 있는 댓글만 좋아요 눌러서 위로 올려주세요",뉴진스,여러분 지금 하이브 전략 바꿨대요 댓글 삭제 말고 관련 없는 댓글 좋아요 눌러서 맨 위로 띄운다고 하네요 언급 있는 댓글만 좋아요 눌러서 위로 올려주세요,ko,여러분 지금 하이브 전략 바꾸다 대요 댓글 삭제 말고 댓글 좋다 누르다 위로 띄우다 언급 댓글 좋다 누르다 위로 올려주다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,뮤비들이 역대급인 이유가 뭐냐면 여태까지 팬들이 즐겨왔고 익숙해진 뮤비들이 이야기 딱 하나만에 통째로 뒤집어지고 재구성된거임. 이사건 전까지 그냥 평범한 아이돌 뮤비처럼 보였다는게 너무 소름돋음,뉴진스,뮤비들이 역대급인 이유가 뭐냐면 여태까지 팬들이 즐겨왔고 익숙해진 뮤비들이 이야기 딱 하나만에 통째로 뒤집어지고 재구성된거임 이사건 전까지 그냥 평범한 아이돌 뮤비처럼 보였다는게 너무 소름돋음,ko,뮤비 역대 이유 여태 까지 즐기다 오다 익숙해지다 뮤비 이야기 하나 만에 통째 뒤집어지다 재다 된거 사건 까지 그냥 평범하다 아이돌 뮤비 처럼 보이다 소름 돋다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,뉴진스 지금 네이버에 치면 소속사 안 뜨고 네이버에 어도어치면 공식 홈페이지 안 뜹니다 계속 댓글이 삭제되고 있습니다 계속해서 모든댓글에 좋아요를 눌러주세요,뉴진스,뉴진스 지금 네이버에 치면 소속사 안 뜨고 네이버에 어도어치면 공식 홈페이지 안 뜹니다 계속 댓글이 삭제되고 있습니다 계속해서 모든댓글에 좋아요를 눌러주세요,ko,뉴진스 지금 네이버 치면 소속사 뜨다 네이버 어도 어치 공식 홈페이지 뜨다 계속 댓글 삭제 계속 모든 댓글 좋다 누르다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,OT5 4EVER,뉴진스,ot5 4ever,en,ot5 4ever
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,오늘 민희진 대표님 주주총회랍니다 여러분!!민희진 대표님이 무사하길 바랍니다!!!!!이 댓글에 하트 한번씩 부탁드립니다,뉴진스,오늘 민희진 대표님 주주총회랍니다 여러분 민희진 대표님이 무사하길 바랍니다 이 댓글에 하트 한번씩 부탁드립니다,ko,오늘 민희진 대표 주주총회 랍니 여러분 민희진 대표 무사하다 바라다 댓글 하트 한번 부탁드리다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,여러분 하이브가 달리는댓글마다 모두 삭제하고있습니다 보이는댓글들은 모두 좋아요를 눌러주세요(배댓같은 인기글을 삭제하면 이상하기때문에),뉴진스,여러분 하이브가 달리는댓글마다 모두 삭제하고있습니다 보이는댓글들은 모두 좋아요를 눌러주세요 배댓같은 인기글을 삭제하면 이상하기때문에,ko,여러분 하이브 달리다 댓글 마다 모두 삭제 보이다 댓글 모두 좋다 누르다 배댓 인기 삭제 이상하다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,BRING THEM BACKKKKK!!!!,뉴진스,bring them backkkkk,en,bring backkkkk
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,여러분 민희진은 절대 ㅈㅅ 하지 않습니다 만약 4월 30일 무슨 일이 생긴다면 모두 하이브에게 책임이 있습니다. 지 금 댓글들이 삭제되어지고 있으니 좋아요를 눌러주세요,뉴진스,여러분 민희진은 절대 하지 않습니다 만약 4월 30일 무슨 일이 생긴다면 모두 하이브에게 책임이 있습니다 지 금 댓글들이 삭제되어지고 있으니 좋아요를 눌러주세요,ko,여러분 민희진 절대 만약 4월 30일 무슨 일이 생기다 모두 하이브 에게 책임 지다 댓글 삭제 되어다 좋다 누르다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,"NO NEWJEANS WITHOUT DANIELLE, DANIELLE WILL BE MISSED. OT5 FOREVER 🩷",뉴진스,no newjeans without danielle danielle will be missed ot5 forever,en,newjeans without danielle danielle missed ot5 forever
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,"민희진 대표는 기자회견에서
“내가 누구 좋으라고 죽어?” 하며 자살할 생각이 없다는 의지를 분명하게 밝혔습니다.
비보가 들려오게 된다면 절대 자살이 아니라는 걸 기억해주세요.
또 그렇게 되지 않도록 관심 계속 가져주세요. 널리 퍼뜨려주세요!",뉴진스,민희진 대표는 기자회견에서 내가 누구 좋으라고 죽어 하며 자살할 생각이 없다는 의지를 분명하게 밝혔습니다 비보가 들려오게 된다면 절대 자살이 아니라는 걸 기억해주세요 또 그렇게 되지 않도록 관심 계속 가져주세요 널리 퍼뜨려주세요,ko,민희진 대표 기자회견 누구 좋다 죽다 자살 생각 의지 분명하다 밝히다 비보 들려오다 절대 자살 아니다 기억 해주다 그렇게 관심 계속 가다 널리 뜨다 줄다
